method,N,K,J,rep,recovery,time_s
EM-MIP-50,250,3,10,77,1.000000,27.521
EM-MIP-50,250,3,10,78,0.966667,28.954
EM-MIP-50,250,3,10,79,0.966667,21.224
EM-MIP-50,250,3,10,80,1.000000,21.507
EM-MIP-50,250,3,10,81,0.900000,24.141
EM-MIP-50,250,3,10,82,1.000000,22.148
EM-MIP-50,250,3,10,83,0.966667,20.157
EM-MIP-50,250,3,10,84,1.000000,25.094
EM-MIP-50,250,3,10,85,0.900000,21.795
EM-MIP-50,250,3,10,86,1.000000,25.680
EM-MIP-50,250,3,10,87,1.000000,21.045
EM-MIP-50,250,3,10,88,0.966667,23.951
EM-MIP-50,250,3,10,89,0.966667,30.856
EM-MIP-50,250,3,10,90,0.933333,27.347
EM-MIP-50,250,3,10,91,0.933333,28.987
EM-MIP-50,250,3,10,92,1.000000,29.663
EM-MIP-50,250,3,10,93,0.900000,27.245
EM-MIP-50,250,3,10,94,0.966667,25.354
EM-MIP-50,250,3,10,95,1.000000,26.168
EM-MIP-50,250,3,10,96,0.966667,28.461
EM-MIP-50,250,3,10,97,1.000000,25.531
EM-MIP-50,250,3,10,98,0.966667,19.987
EM-MIP-50,250,3,10,99,0.933333,23.443
EM-MIP-50,250,3,10,100,0.966667,31.962
EM-MIP-50,500,3,10,1,0.966667,26.260
EM-MIP-50,500,3,10,2,1.000000,26.126
EM-MIP-50,500,3,10,3,1.000000,27.718
EM-MIP-50,500,3,10,4,0.966667,24.529
EM-MIP-50,500,3,10,5,1.000000,27.767
EM-MIP-50,500,3,10,6,0.966667,28.943
EM-MIP-50,500,3,10,7,1.000000,30.286
EM-MIP-50,500,3,10,8,0.966667,30.550
EM-MIP-50,500,3,10,9,0.933333,27.619
EM-MIP-50,500,3,10,10,1.000000,29.026
EM-MIP-50,500,3,10,11,1.000000,30.643
EM-MIP-50,500,3,10,12,1.000000,25.876
EM-MIP-50,500,3,10,13,1.000000,31.969
EM-MIP-50,500,3,10,14,1.000000,24.947
EM-MIP-50,500,3,10,15,0.933333,27.547
